1st Q,1st Q.1,1st Q.2,1st Q.3,1st Q.4,1st Q.5,table
10:22.0,,,58-67,,Personal foul by J. Tyson (drawn by J. Brunson),pbp
10:22.0,D. Wade enters the game for J. Tyson,,58-67,,,pbp
10:18.0,,,58-67,,O. Anunoby misses 3-pt jump shot from 25 ft,pbp
10:15.0,Defensive rebound by E. Mobley,,58-67,,,pbp
10:07.0,D. Mitchell makes 2-pt jump shot from 16 ft,+2,60-67,,,pbp
9:51.0,,,60-70,+3,K. Towns makes 3-pt jump shot from 26 ft (assist by J. Brunson),pbp
9:43.0,D. Mitchell misses 3-pt jump shot from 26 ft,,60-70,,,pbp
9:40.0,,,60-70,,Defensive rebound by K. Towns,pbp
9:34.0,,,60-72,+2,J. Brunson makes 2-pt layup from 1 ft,pbp
9:19.0,Offensive foul by S. Merrill (drawn by K. Towns),,60-72,,,pbp
9:19.0,Turnover by S. Merrill (offensive foul),,60-72,,,pbp
9:03.0,,,60-75,+3,O. Anunoby makes 3-pt jump shot from 23 ft (assist by M. Bridges),pbp
9:02.0,Cleveland full timeout,,60-75,,,pbp
8:44.0,S. Merrill makes 3-pt jump shot from 25 ft (assist by D. Mitchell),+3,63-75,,,pbp
8:19.0,,,63-75,,O. Anunoby misses 2-pt jump shot from 10 ft (block by D. Wade),pbp
8:18.0,,,63-75,,Offensive rebound by Team,pbp
8:13.0,,,63-77,+2,A. Hukporti makes 2-pt dunk from 2 ft (assist by M. Bridges),pbp
7:53.0,D. Mitchell makes 2-pt layup from 6 ft,+2,65-77,,,pbp
7:48.0,,,65-77,,Offensive foul by A. Hukporti (drawn by S. Merrill),pbp
7:48.0,,,65-77,,Turnover by A. Hukporti (offensive foul),pbp
7:41.0,Personal foul by J. Brunson (drawn by S. Merrill),,65-77,,,pbp
7:41.0,,,65-77,,G. Yabusele enters the game for A. Hukporti,pbp
7:33.0,S. Merrill makes 3-pt jump shot from 26 ft (assist by D. Mitchell),+3,68-77,,,pbp
7:22.0,,,68-77,,Shooting foul by S. Merrill (drawn by J. Brunson),pbp
7:22.0,,,68-78,+1,J. Brunson makes free throw 1 of 2,pbp
7:22.0,,,68-79,+1,J. Brunson makes free throw 2 of 2,pbp
7:16.0,Personal foul by G. Yabusele (drawn by J. Allen),,68-79,,,pbp
7:12.0,D. Mitchell misses 3-pt jump shot from 25 ft,,68-79,,,pbp
7:10.0,,,68-79,,Defensive rebound by O. Anunoby,pbp
7:03.0,,,68-79,,G. Yabusele misses 2-pt layup from 1 ft (block by D. Mitchell),pbp
7:02.0,Defensive rebound by D. Wade,,68-79,,,pbp
6:57.0,S. Merrill misses 3-pt jump shot from 24 ft,,68-79,,,pbp
6:54.0,,,68-79,,Defensive rebound by J. Brunson,pbp
6:45.0,,,68-79,,Turnover by O. Anunoby (lost ball; steal by D. Mitchell),pbp
6:43.0,D. Mitchell makes 2-pt dunk from 2 ft,+2,70-79,,,pbp
6:13.0,,,70-79,,J. Brunson misses 3-pt jump shot from 27 ft,pbp
6:10.0,Defensive rebound by E. Mobley,,70-79,,,pbp
6:03.0,D. Mitchell misses 3-pt jump shot from 23 ft,,70-79,,,pbp
6:00.0,,,70-79,,Defensive rebound by K. Towns,pbp
5:52.0,,,70-79,,K. Towns misses 3-pt jump shot from 28 ft,pbp
5:51.0,Defensive rebound by Team,,70-79,,,pbp
5:51.0,L. Ball enters the game for D. Mitchell,,70-79,,,pbp
5:28.0,E. Mobley misses 2-pt layup from 3 ft (block by M. Bridges),,70-79,,,pbp
5:26.0,,,70-79,,Defensive rebound by O. Anunoby,pbp
5:24.0,,,70-79,,Turnover by O. Anunoby (bad pass; steal by D. Wade),pbp
5:21.0,L. Ball misses 3-pt jump shot from 26 ft,,70-79,,,pbp
5:19.0,Offensive rebound by S. Merrill,,70-79,,,pbp
5:19.0,S. Merrill makes 2-pt layup at rim,+2,72-79,,,pbp
5:19.0,,,72-79,,New York full timeout,pbp
5:19.0,L. Nance enters the game for J. Allen,,72-79,,,pbp
5:19.0,T. Proctor enters the game for S. Merrill,,72-79,,,pbp
5:19.0,,,72-79,,T. Jemison enters the game for O. Anunoby,pbp
5:19.0,,,72-79,,M. McBride enters the game for K. Towns,pbp
