1st Q,1st Q.1,1st Q.2,1st Q.3,1st Q.4,1st Q.5
Time,Houston,,Score,,Oklahoma City
12:00.0,Jump ball: S. Adams vs. C. Holmgren (A. Thompson gains possession),Jump ball: S. Adams vs. C. Holmgren (A. Thompson gains possession),Jump ball: S. Adams vs. C. Holmgren (A. Thompson gains possession),Jump ball: S. Adams vs. C. Holmgren (A. Thompson gains possession),Jump ball: S. Adams vs. C. Holmgren (A. Thompson gains possession)
6:13.0,,,67-60,,Offensive rebound by Team
6:13.0,T. Eason enters the game for A. Şengün,,67-60,,
6:13.0,R. Sheppard enters the game for J. Smith,,67-60,,
6:13.0,,,67-60,,A. Wiggins enters the game for C. Holmgren
6:13.0,,,67-61,+1,C. Wallace makes free throw 2 of 2
5:55.0,T. Eason misses 3-pt jump shot from 23 ft,,67-61,,
5:52.0,Offensive rebound by A. Thompson,,67-61,,
5:45.0,Turnover by T. Eason (bad pass; steal by C. Wallace),,67-61,,
5:38.0,,,67-61,,A. Wiggins misses 3-pt jump shot from 23 ft
5:35.0,,,67-61,,Offensive rebound by L. Dort
5:33.0,,,67-61,,L. Dort misses 3-pt jump shot from 27 ft
5:28.0,Defensive rebound by S. Adams,,67-61,,
5:13.0,T. Eason misses 3-pt jump shot from 27 ft,,67-61,,
5:10.0,,,67-61,,Defensive rebound by S. Gilgeous-Alexander
5:03.0,,,67-63,+2,S. Gilgeous-Alexander makes 2-pt layup from 2 ft
4:47.0,R. Sheppard misses 2-pt jump shot from 16 ft,,67-63,,
4:43.0,Offensive rebound by S. Adams,,67-63,,
4:43.0,S. Adams misses 2-pt layup at rim,,67-63,,
4:41.0,Offensive rebound by S. Adams,,67-63,,
4:41.0,S. Adams makes 2-pt layup at rim,+2,69-63,,
4:33.0,,,69-65,+2,C. Wallace makes 2-pt layup from 1 ft
4:33.0,Houston full timeout,,69-65,,
4:33.0,C. Capela enters the game for S. Adams,,69-65,,
4:19.0,Shooting foul by S. Gilgeous-Alexander (drawn by C. Capela),,69-65,,
4:19.0,C. Capela makes free throw 1 of 2,+1,70-65,,
4:19.0,C. Capela makes free throw 2 of 2,+1,71-65,,
4:05.0,,,71-65,,C. Wallace misses 3-pt jump shot from 23 ft
4:01.0,Defensive rebound by T. Eason,,71-65,,
3:55.0,Turnover by C. Capela (bad pass; steal by C. Wallace),,71-65,,
3:52.0,,,71-67,+2,C. Wallace makes 2-pt dunk from 1 ft
3:36.0,R. Sheppard misses 3-pt jump shot from 31 ft,,71-67,,
3:34.0,,,71-67,,Defensive rebound by L. Dort
3:26.0,,,71-70,+3,A. Wiggins makes 3-pt jump shot from 26 ft (assist by C. Wallace)
3:08.0,A. Thompson misses 3-pt jump shot from 26 ft,,71-70,,
3:06.0,Offensive rebound by R. Sheppard,,71-70,,
2:57.0,K. Durant misses 3-pt jump shot from 27 ft,,71-70,,
2:51.0,,,71-70,,Defensive rebound by A. Wiggins
2:41.0,,,71-70,,A. Wiggins misses 2-pt layup from 2 ft
2:34.0,Defensive rebound by A. Thompson,,71-70,,
2:32.0,Houston full timeout,,71-70,,
2:32.0,A. Şengün enters the game for A. Thompson,,71-70,,
2:32.0,,,71-70,,A. Caruso enters the game for I. Hartenstein
2:32.0,,,71-70,,C. Holmgren enters the game for C. Wallace
2:22.0,T. Eason misses 3-pt jump shot from 27 ft,,71-70,,
2:18.0,Offensive rebound by A. Şengün,,71-70,,
2:15.0,R. Sheppard makes 2-pt jump shot from 15 ft (assist by A. Şengün),+2,73-70,,
2:04.0,,,73-73,+3,A. Caruso makes 3-pt jump shot from 24 ft (assist by S. Gilgeous-Alexander)
1:48.0,A. Şengün makes 3-pt jump shot from 27 ft (assist by R. Sheppard),+3,76-73,,
